Title,Price,Location,Link
🌟 Discover Arcade Sunshine DC - Unbeatable Prices Inside! 🌟,Petworth/Northwest/Adams Morgan,Petworth/Northwest/Adams Morgan,https://washingtondc.craigslist.org/doc/apa/d/washington-discover-arcade-sunshine-dc/7728481078.html
"On-Site Management Team, Gas Range, Playground","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-on-site-management-team-gas/7727116136.html
Always Fresh. Forever Original.,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-always-fresh-forever-original/7728404539.html
"Hyattsville MD, Recycling, 1 Bed",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-hyattsville-md-recycling-bed/7728361374.html
"Wonderful amenities, great style, brand new construction!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-wonderful-amenities-great/7728349245.html
"1/BD, Hyattsville MD, Park-Like Setting",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-hyattsville-md-park-like/7727051563.html
"High Speed Internet Access, 1/BD, in Hyattsville MD","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-high-speed-internet-access/7728318785.html
"Gas Range, Playground, Gas & Electric Included!",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-gas-range-playground-gas/7728285440.html
Light filled English basement studio apartment in Chevy Chase DC,Tenleytown/American University,Tenleytown/American University,https://washingtondc.craigslist.org/doc/apa/d/washington-light-filled-english/7719641385.html
"1/bd, Park-Like Setting, Wall-to-Wall Carpet Option",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-park-like-setting-wall/7726740427.html
"1bed/1ba in walkout finished basement, 10 mins walk to Rockville Metro","Rockville, MD","Rockville, MD",https://washingtondc.craigslist.org/mld/apa/d/rockville-1bed-1ba-in-walkout-finished/7728218278.html
"Situated in Silver Spring!, 1 Bed",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-situated-in-silver-spring/7717227678.html
